Reference,Assay,Assay
,Positive,2
,Positive,1
,Positive,1
,Positive,1
,Positive,2
,Positive,2
,Positive,1
,Positive,2
,Positive,2
,Positive,1
,Positive,2
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,3
,Positive,1
,Positive,2
,Positive,2
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,2
,Positive,2
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,2
,Positive,2
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,3
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,2
,Positive,1
,Positive,2
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,2
,Positive,1
,Positive,2
,Positive,1
,Positive,2
,Positive,1
,Positive,2
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,2
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,2
,Positive,1
,Positive,2
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,1
,Positive,2
,Positive,1
,Positive,2
,Positive,1
,Positive,2
,Positive,1
9813209,Positive,
12527224,Positive,14
12527224,Positive,10
11124847,Positive,2
11124847,Positive,8
16095964,Positive,1
10790425,Positive,1
10790425,Positive,1
10790425,Positive,
10790425,Positive,1
10790425,Positive,1
10790425,Positive,1
10790425,Positive,1
10790425,Positive,1
10790425,Positive,1
10790425,Positive,1
10790425,Positive,1
10790425,Positive,1
10790425,Positive,1
10790425,Positive,1
10790425,Positive,1
10790425,Positive,2
10790425,Positive,3
10790425,Positive,3
10790425,Positive,2
16095964,Positive,12
16095964,Positive,1
16095964,Positive,12
16095964,Positive,1
16095964,Positive,12
16095964,Positive,1
16095964,Positive,12
11356962,Positive,2
11356962,Positive,1
11356962,Positive,1
11356962,Positive,1
11356962,Positive,1
11356962,Positive,3
11356962,Positive,3
11356962,Positive,2
12634388,Positive,10
12634388,Positive,
9410918,Positive,7
9410918,Positive,5
9410918,Positive,1
9410918,Positive,7
9410918,Positive,4
9410918,Positive,2
9410918,Positive,3
9410918,Positive,7
9410918,Positive,2
9410918,Positive,3
9410918,Positive,2
9410918,Positive,3
9410918,Positive,7
9410918,Positive,4
10432280,Positive,12
10432280,Positive,12
10432280,Positive,12
10432280,Positive,12
10432280,Positive,10
10432280,Positive,10
10432280,Positive,12
10432280,Positive,12
9410918,Positive,5
9410918,Positive,7
9410918,Positive,2
9410918,Positive,7
9410918,Positive,2
9410918,Positive,4
9410918,Positive,1
9410918,Positive,1
9410918,Positive,6
9410918,Positive,1
9410918,Positive,2
9410918,Positive,1
9410918,Positive,1
9410918,Positive,1
9410918,Positive,1
9739058,Positive,
8671652,Positive,13
8671652,Positive,9
8671652,Positive,4
8671652,Positive,6
8671652,Positive,11
8671652,Positive,4
8671652,Positive,10
8671652,Positive,11
8671652,Positive,
8671652,Positive,
8671652,Positive,
15166436,Positive,13
15166436,Positive,13
15166436,Positive,13
15166436,Positive,13
15166436,Positive,13
15166436,Positive,13
15166436,Positive,13
15166436,Positive,13
15166436,Positive,13
15166436,Positive,13
15166436,Positive,13
15166436,Positive,13
15166436,Positive,13
15166436,Positive,1
15166436,Positive,1
15166436,Positive,1
15166436,Positive,1
15166436,Positive,1
15166436,Positive,1
15166436,Positive,1
16731941,Positive,
16731941,Positive,
16731941,Positive,
16731941,Positive,
16731941,Positive,
16731941,Positive,
16731941,Positive,
16731941,Positive,
16731941,Positive,
10432280,Positive,10
10432280,Positive,10
16829305,Positive,1
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
15373909,Positive,6
7884894,Positive,11
7884894,Positive,3
7884894,Positive,6
7884894,Positive,6
7884894,Positive,6
7884894,Positive,6
7884894,Positive,6
7884894,Positive,2
7884894,Positive,2
7884894,Positive,1
7884894,Positive,1
7884894,Positive,1
16779722,Positive,
16779722,Positive,
16779722,Positive,
16779722,Positive,
16779722,Positive,
16779722,Positive,
16779722,Positive,
16779722,Positive,
16779722,Positive,
7875224,Positive,6
7875224,Positive,6
7875224,Positive,6
7875224,Positive,6
7875224,Positive,6
7875224,Positive,6
7875224,Positive,6
7875224,Positive,1
7875224,Positive,2
7875224,Positive,1
16775358,Positive,
16775358,Positive,7
16775358,Positive,
16775358,Positive,
16775358,Positive,
16988764,Positive,7
16988764,Positive,7
16887973,Positive,4
16887973,Positive,
16630549,Positive,
16630549,Positive,
16630549,Positive,
16630549,Positive,
16630549,Positive,
16630549,Positive,
16630549,Positive,
16469384,Positive,
7536870,Positive,7
7536870,Positive,7
11526203,Positive,14
11526203,Positive,14
11526203,Positive,14
11526203,Positive,14
11526203,Positive,14
11526203,Positive,14
11526203,Positive,4
15845492,Positive,15
15845492,Positive,15
15845492,Positive,15
9058821,Positive,
9058821,Positive,
9774275,Positive,11
9774275,Positive,11
7535817,Positive,15
7535817,Positive,15
7535817,Positive,15
7535817,Positive,15
7535817,Positive,15
7535817,Positive,1
1280333,Positive,6
9252123,Positive,2
9252123,Positive,2
9252123,Positive,2
9252123,Positive,2
9252123,Positive,2
9252123,Positive,2
9252123,Positive,2
9252123,Positive,4
9252123,Positive,9
12078650,Positive,14
9252123,Positive,45
12078650,Positive,14
12078650,Positive,14
12078650,Positive,14
12078650,Positive,1
12078650,Positive,1
12078650,Positive,1
12078650,Positive,1
12078650,Positive,1
12078650,Positive,1
12078650,Positive,1
12078650,Positive,1
1280333,Positive,8
1280333,Positive,8
1280333,Positive,8
7541824,Positive,4
7541824,Positive,4
7541824,Positive,4
7541824,Positive,4
7541824,Positive,4
7541824,Positive,4
7541824,Positive,4
7541824,Positive,4
11449351,Positive,8
11449351,Positive,8
8196768,Positive,
8196768,Positive,
8196768,Positive,
8196768,Positive,
8196768,Positive,
12399208,Positive,50
12399208,Positive,50
12399208,Positive,50
10599997,Positive,
10599997,Positive,
10599997,Positive,
10599997,Positive,
9239396,Positive,25
9239396,Positive,18
9239396,Positive,23
9239396,Positive,11
9239396,Positive,13
9239396,Positive,13
10770795,Positive,33
10770795,Positive,19
10770795,Positive,19
10770795,Positive,
10770795,Positive,
10770795,Positive,
11804672,Positive,13
11804672,Positive,13
11804672,Positive,13
7683326,Positive,12
7683326,Positive,12
7683326,Positive,12
7683326,Positive,12
7683326,Positive,12
7683326,Positive,2
7683326,Positive,2
7683326,Positive,2
7683326,Positive,2
7683326,Positive,2
11390521,Positive,7
11390521,Positive,3
11390521,Positive,3
11390521,Positive,7
11390521,Positive,7
11390521,Positive,9
11390521,Positive,9
9328331,Positive,
9239396,Positive,4
